Datetime,close,high,low,open,volume,sma_short,sma_long,rsi,atr,ret_1,ret_3,ret_lag_1,ret_lag_2,ret_lag_3
2025-10-20 17:35:00+00:00,671.844970703125,671.9099731445312,671.6300048828125,671.6699829101562,214602,671.5691040039062,670.5460229492187,65.636172680477,0.37500392549565476,0.0002679798436266978,-9.674278401028413e-05,8.19727477874288e-05,-0.0004465610574594381,-4.650704395503524e-05
2025-10-20 17:40:00+00:00,671.97998046875,672.1199951171875,671.844970703125,671.8499755859375,379497,671.6761047363282,670.6146228027344,67.44422810337862,0.36786253182185796,0.00020095374902284746,0.0005509986361806885,0.0002679798436266978,8.19727477874288e-05,-0.0004465610574594381
2025-10-20 17:45:00+00:00,672.030029296875,672.0377197265625,671.8699951171875,671.989990234375,252268,671.774609375,670.6820239257812,68.11399508345781,0.3535669659327967,7.447964162565768e-05,0.0005435020158464088,0.00020095374902284746,0.0002679798436266978,8.19727477874288e-05
2025-10-20 17:50:00+00:00,671.730224609375,672.0399780273438,671.730224609375,672.030029296875,344427,671.784130859375,670.7428283691406,60.13331225560091,0.3504374267925076,-0.0004461179923963554,-0.00017079251725271583,7.447964162565768e-05,0.00020095374902284746,0.0002679798436266978
2025-10-20 17:55:00+00:00,671.798828125,671.8400268554688,671.6300048828125,671.7349853515625,260567,671.8080139160156,670.7940051269532,61.25209199774511,0.3404077514970606,0.00010212956498256709,-0.0002695799711527336,-0.0004461179923963554,7.447964162565768e-05,0.00020095374902284746
2025-10-20 18:00:00+00:00,672.0900268554688,672.1099853515625,671.760009765625,671.7999877929688,401473,671.8600158691406,670.8532055664062,65.6575719129809,0.3410911682428063,0.00043346120635767704,8.927809171943579e-05,0.00010212956498256709,-0.0004461179923963554,7.447964162565768e-05
2025-10-20 18:05:00+00:00,672.1400146484375,672.2000122070312,672.0200805664062,672.0999755859375,391602,671.8798950195312,670.9212060546874,66.36454270373603,0.32957977341296296,7.437663255127624e-05,0.0006100515118265815,0.00043346120635767704,0.00010212956498256709,-0.0004461179923963554
2025-10-20 18:10:00+00:00,672.1199951171875,672.2100219726562,672.0,672.1400146484375,343101,671.9008972167969,670.9780053710938,65.78050311101931,0.3210399305017692,-2.9784763313722706e-05,0.0004780701881899052,7.437663255127624e-05,0.00043346120635767704,0.00010212956498256709
2025-10-20 18:15:00+00:00,672.0180053710938,672.2100219726562,671.9199829101562,672.1199951171875,578911,671.9417053222656,671.0241650390625,62.75071570267376,0.3188255827873571,-0.00015174335957068852,-0.00010716047180758803,-2.9784763313722706e-05,7.437663255127624e-05,0.00043346120635767704
2025-10-20 18:20:00+00:00,671.9249877929688,672.030029296875,671.8300170898438,672.02001953125,282271,671.9677062988281,671.07146484375,60.0348302249364,0.31033891309049233,-0.00013841530640779087,-0.0003199137840070865,-0.00015174335957068852,-2.9784763313722706e-05,7.437663255127624e-05
